Recency,Frequency,MonetaryValue,Length
44,1,1199000,1899
31,1,2880000,1886
24,2,22939400,1902
68,1,1344000,1923
26,1,1232000,1882
20,1,6720000,1875
38,1,11000000,1893
23,1,11110000,1878
68,1,450000,1923
44,1,1199000,1899
4,3,2898000,1866
24,1,3000000,1879
26,1,1210000,1881
85,1,853600,1940
22,1,3710000,1877
32,1,9900000,1887
62,1,1232055,1917
46,1,935000,1901
56,2,1372500,1920
28,1,13200000,1883
47,1,12210000,1902
9,1,9625000,1864
24,1,6120000,1879
25,2,10340000,1880
27,1,1232000,1882
59,1,1320000,1914
62,2,1117000,1917
19,1,3640000,1874
43,1,6108000,1898
31,1,10560000,1886
43,2,1795700,1899
31,1,10560000,1886
19,1,10560000,1874
22,1,598000,1877
24,1,6720000,1879
46,1,6120000,1901
46,1,11935000,1901
20,1,6180000,1875
34,1,1760000,1890
21,1,1210000,1877
23,1,10010000,1878
69,1,585000,1924
18,1,10010000,1873
7,1,1320000,1863
23,2,11220000,1878
82,1,1265000,1937
33,1,11110000,1888
71,1,900000,1926
23,1,11990000,1878
41,1,264000,1897
61,2,764560,1916
57,2,1486800,1921
1,6,12245500,1936
40,1,12969000,1895
64,1,1870000,1920
23,1,6720000,1878
23,1,11440000,1878
